description,Price,Rating,Review Count,URL
Soulaca 27 inches Android 7.1 Frameless Smart Mirror LED Bathroom Waterproof TV (Velasting FBA),$688.00,3.7 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A099998629I4FTPDNUZX7&url=%2FSoulaca-Frameless-Bathroom-Waterproof-Velasting%2Fdp%2FB087R79NH6%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865433%26sr%3D8-28-spons%26psc%3D1%26smid%3DA3MS62YD8VSI2G&qualifier=1609865433&id=8258551886119708&widgetName=sp_mtf
"TCL 32"" 3-Series 720p ROKU Smart TV - 32S335",$128.00,4.6 out of 5 stars,"34,136",https://www.amazon.com/TCL-32-720p-ROKU-Smart/dp/B088S3V3R4/ref=sr_1_31?dchild=1&keywords=tv&qid=1609865433&sr=8-31
"Hisense 32-Inch Class H4 Series LED Roku Smart TV with Alexa Compatibility (32H4F, 2020 Model)",$149.99,4.6 out of 5 stars,"3,858",https://www.amazon.com/Hisense-32-Inch-Class-Compatibility-32H4F/dp/B084BNBLQS/ref=sr_1_32?dchild=1&keywords=tv&qid=1609865433&sr=8-32
LG Electronics 24LM530S-PU 24-Inch HD webOS 3.5 Smart TV,$146.99,4.5 out of 5 stars,564,https://www.amazon.com/LG-Electronics-24LM530S-PU-24-Inch-webOS/dp/B086XL48ZF/ref=sr_1_33?dchild=1&keywords=tv&qid=1609865433&sr=8-33
Hisense 32-Inch 32H5500F Class H55 Series Android Smart TV with Voice Remote (2020 Model),$149.99,4.3 out of 5 stars,"2,424",https://www.amazon.com/Hisense-32H5500F-32-Inch-Android-Smart/dp/B081KTBM1C/ref=sr_1_34?dchild=1&keywords=tv&qid=1609865433&sr=8-34
"SuperSonic SC-2412 LED Widescreen HDTV & Monitor 24"", Built-in DVD Player with HDMI, USB, SD & AC/DC Input: DVD/CD/CDR High Resolution and Digital Noise Reduction",$180.51,4.0 out of 5 stars,"2,166",https://www.amazon.com/SuperSonic-Widescreen-Compatible-Built-24-Inch/dp/B007GFD3EW/ref=sr_1_35?dchild=1&keywords=tv&qid=1609865433&sr=8-35
"Pyle 23.6"" 1080p LED TV, Multimedia Disc Player, Ultra HD TV, LED Hi Res Widescreen Monitor w/HDMI Cable RCA Input, LED TV Monitor, Audio Streaming, Mac PC, Stereo Speakers, Wall Mount (PTVDLED24)",$174.99,4.3 out of 5 stars,315,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A02175982P7F67PQHZUJ0&url=%2FPyle-Multimedia-Widescreen-Streaming-PTVDLED24%2Fdp%2FB01LX4MB6S%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865433%26sr%3D8-37-spons%26psc%3D1&qualifier=1609865433&id=8258551886119708&widgetName=sp_btf
"AMAZSHOP247 Infrared Apple Tv Remote Replacement - Apple TV 2 3 Mac, iPod or iPhone (MC377LL/A)",$14.95,4.0 out of 5 stars,168,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A03824183FWZT1TYWKHUS&url=%2FAMAZSHOP247-infrared-Apple-Remote-replacement%2Fdp%2FB01FUZYD2U%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865433%26sr%3D8-38-spons%26psc%3D1&qualifier=1609865433&id=8258551886119708&widgetName=sp_btf
"TechOrbits Portable TV Floor Stand for Samsung 55"" and 65"" Q7CN Q7FN Q8C Q85R Q9F Q9FN Q90R Q900 Q950R LS03 LS03R - TV Legs Artistic Tripod Easel",$99.95,3.7 out of 5 stars,10,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A09307605W94CNJ0Y6MZ&url=%2FTechOrbits-Portable-Floor-Stand-Samsung%2Fdp%2FB081115JBY%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865465%26sr%3D8-33-spons%26psc%3D1&qualifier=1609865465&id=6081161836946312&widgetName=sp_atf_next
"6.6ft 8K HDMI 2.1 Cable - Ultra HD High Speed 48Gbps 120hz HDMI Cord, Gold Connectors, Nylon Braided, Compatible with Play Station Xbox PS4 Samsung Roku Apple OLED TV",$19.99,4.7 out of 5 stars,247,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A07452381OW3J81FITBHP&url=%2F48Gbps-transfer-Substitute-Nintendo-Meters%2Fdp%2FB07WLTWLDT%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865465%26sr%3D8-34-spons%26psc%3D1&qualifier=1609865465&id=6081161836946312&widgetName=sp_atf_next
"Luxtronic AMP012 TV Antenna Amplifier, HDTV Signal Booster, HD Digital VHF UHF Amplifier, Indoor HDTV Ultra Low Noise Amp (USB Powered) - USA",$24.99,2.7 out of 5 stars,8,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A09115062HBMXUZEKR82N&url=%2FLuxtronic-AMP012-Antenna-Amplifier-Booster%2Fdp%2FB08K3MVGDR%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865465%26sr%3D8-43-spons%26psc%3D1&qualifier=1609865465&id=6081161836946312&widgetName=sp_mtf
LuckyStar Replacement Remote Control Ct-8037 fit for Toshiba LCD LED Smart TV 40L3400 40L3400U 50L3400 50L3400U 58L5400 58L5400U 58L5400UC 65L5400 65L5400U 65L5400UC,$16.99,1.0 out of 5 stars,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A09637791Y9N4OTUVXFZ6&url=%2FLuckyStar-Replacement-40L3400U-58L5400UC-65L5400UC%2Fdp%2FB0721MXWPT%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865465%26sr%3D8-44-spons%26psc%3D1&qualifier=1609865465&id=6081161836946312&widgetName=sp_mtf
TV (The Book): Two Experts Pick the Greatest American Shows of All Time,$19.99,4.4 out of 5 stars,by ,https://www.amazon.com/TV-Book-Experts-Greatest-American/dp/1455588199/ref=sr_1_49?dchild=1&keywords=tv&qid=1609865465&sr=8-49
Momma Named Me Sheriff Season 1,$1.99,4.1 out of 5 stars,2019,https://www.amazon.com/TV/dp/B081M61Y3P/ref=sr_1_52?dchild=1&keywords=tv&qid=1609865465&sr=8-52
"LuckyStar Remote Control XRT010 Compatible with Vizio TV, if Applicable E320-A0 E241-A1 E290-A1 E390-A1 E320-A1 E420-A0 E470-A0 E420VSE E390VL E471VLE E240AR E320AR E420AR E500AR E291-A1",$12.99,3.8 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0956731JGBY7TZXCAJ2&url=%2FLuckyStar-Control-Compatible-Applicable-E320-A0%2Fdp%2FB072R6261H%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865465%26sr%3D8-53-spons%26psc%3D1&qualifier=1609865465&id=6081161836946312&widgetName=sp_btf
Soulaca 22 inches Black Smart Bathroom LED TV Waterproof SPA 1080P Android 7.1 ATSC/DVB (Velasting FBA),$458.00,3.7 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A10002661NW2Y8F24ZHTY&url=%2FSoulaca-inches-Bathroom-Waterproof-Android%2Fdp%2FB07XG7J6ZT%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865485%26sr%3D8-49-spons%26psc%3D1%26smid%3DA3MS62YD8VSI2G&qualifier=1609865485&id=213074703264681&widgetName=sp_atf_next
"Jensen JTV19DC HD Ready 19 Inch 12V DC RV LED TV with Integrated HDTV (ATSC) Tuner, HD Ready (1080p, 720p, 480p), 1366 x 768 Full HD, Dual Function Wireless Remote Control, Black",$197.12,4.3 out of 5 stars,141,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A05780151G2QB2YVC4MQO&url=%2FJensen-JTV19DC-Integrated-Function-Wireless%2Fdp%2FB06X3VH4VK%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865485%26sr%3D8-50-spons%26psc%3D1%26smid%3DAFAGM2K2OIRAD&qualifier=1609865485&id=213074703264681&widgetName=sp_atf_next
"Night Light Bluetooth Speaker, Portable Wireless Bluetooth Speakers, Touch Control, Color LED Speaker, Bedside Table Light, Speakerphone/TF Card/AUX-in Supported (White), SHAVA 7",$23.99,4.4 out of 5 stars,"3,241",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A000569926J6JY9N06463&url=%2FSHAVA-Bluetooth-Portable-Speakerphone-Supported%2Fdp%2FB01IEIRFAW%2Fref%3Dsr_1_65_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865530%26sr%3D8-65-spons%26psc%3D1%26smid%3DA3P96L9NK6CYXD&qualifier=1609865530&id=2780844915790772&widgetName=sp_atf_next
